,,,,,,
COBECA,,,,,,
,,,,,,
CODIGO,PRODUCTO,P.REFERENC,EXISTENCIA,DIAS CREDITO,PORCENTAJE,PEDIDO
7599558000103,ZINCOSOL JBE 15MG UVA 120ML,4.79,37,25,8,
7591616000131,ACEITE D/RICINO 30ML BIOF,3.99,95,21,7,
7591616002227,CALAMINA LOC/TOPICA REFRESC X 110ML BIOF,4.97,312,21,7,
7591616001411,VASELINA BIOFARCO 25G,2.34,474,21,7,
7591616001633,SAL D/HIGUERA SOB 20G BIOF,1.35,789,21,7,
7591616002234,CALAMINA LOC/TOPICA REFRESC X 180ML BIOF,7.06,187,21,7,
7591616000667,GLICERINA 30ML BIOF,2.57,659,21,7,
7591616001619,SAL D/EPSOM SOB 20G BIOF,1.35,80,21,7,
7591616001466,ACIDO BORICO SOB 20G BIOF,1.47,737,21,7,
7591616000162,ACEITE MINERAL 30ML BIOF,2.16,160,21,7,
7591616000261,ALCOHOL ABSOLUTO 120ML BIOF,3.00,280,21,7,
7591616000346,ALCOHOL YODADO SPRAY BIOFARCO 60ML,3.86,17,21,7,
7591616000322,ALCOHOL YODADO SPRAY BIOFARCO 120ML,4.66,10,21,7,
7591616002111,ALCOHOL BIOF ANTISEPTICO 70% V/V X 120ML,2.52,29,21,7,
7591616000315,ALCOHOL ABSOLUTO 60ML BIOF,2.16,523,21,7,
7591616000285,ALCOHOL ABSOLUTO BIOF 240ML,4.73,222,21,7,
7591616002364,GEL D/ULTRASONIDO TRANSGEL 1 GALON,18.42,3,21,7,
7591616002135,VITACON C SOL ORAL 100MG/ML 120ML BIOF,3.38,44,21,7,
7591616002944,CLORURO D/MAGNES SOL 1000L BIOF,7.79,153,21,7,
7591616000704,CITRATO D/POTA EDUL SOL 10% 1L BIOF,10.19,419,21,7,
7591616001510,AZUFRE PVO 20G,1.21,23,21,7,
7591616002357,MIEL D/BORAX 20ML BIOF,3.44,71,21,7,
7591616002951,CLORURO D/MAGNES SOL 500ML BIOF,5.83,25,21,7,
7591616002159,CALZINC D SUSP ORAL 240ML BIOF,6.82,34,21,7,
7591616002326,LIMONADA LAXANTE 240ML BIOF,5.16,54,21,7,
7599558000219,PROBIOLITOS SOB 1G FRESA X10 BIOF,7.74,49,25,8,
7591616000902,"LECHE MAGNESIA SUSP ORAL 8,5G 120ML BIOF",6.01,170,21,7,
7599558000158,JENGIBRE/ZINC/VIT C JBE 180 BIOF,7.55,17,25,8,
7591616002371,KURD & CARE PVO SUSP ORAL 250ML,2.83,41,21,7,
7591616002937,CITRATO D/POTA SOL 500ML BIOF,7.36,197,21,7,
7591616002258,BERRO JBE X 180ML BIOF,4.97,136,21,7,
7599558000264,VITACON B COMPLEX 180ML BIOF,3.99,60,25,8,
7591616000032,ACEITE D/ALMEN BIOF DULCE 30ML,2.23,86,21,7,
7591616002289,COLODION SALICILADO 10ML BIOF,6.62,114,21,7,
7599558000202,PROBIOCONZINC PVO 2B UFC SOB 1G X10,7.86,57,25,8,
7591616001480,ALUMBRE PVO SOB 20G BIOF,1.29,241,21,7,
7591616000988,PASTA AL AGUA 100G BIOF,5.16,241,21,7,
7591616002005,LECHE MAGNESIA SUSP ORAL MENTA120ML BIOF,6.01,227,21,7,
7591616002388,FENOSSALIL  SOL 60ML BIOF,5.40,51,21,7,
7591616001282,VIOLETA GENCIANA SOL 1% 30ML BIOF,2.40,122,21,7,
7599558000141,HYDRORAL UVA 500ML,4.29,314,25,8,
7591616002418,"ACETACLOR JBE 125MG/0,5MG/5ML 120ML BIOF",3.25,4,21,10,
7599558000165,NEUROVITAL KIDS JBE 180ML BIOF,8.29,2,25,8,
7591616002302,MENTOL CREM/ROLL ON X 80ML BIOF,3.56,32,21,7,
7591616002241,MENTO SPR X 120ML BIOF,4.79,57,21,7,
7599558000110,FERYFOL JBE 18MG AVELL 120ML,5.40,36,25,8,
7591616001428,VASELINA BIOFARCO 50G,3.00,120,21,7,
7591616002272,ACEITE D/CASTOR 30ML BIOF,5.34,34,21,7,
7591616002050,ENJ/BUC DENTOL 250ML,3.19,65,21,7,
7591616002395,ENJ BUCAL DENT-OLTOTAL CANELA 240ML,3.86,58,21,7,
7591616002401,ENJ BUCAL DENT-OLSA MENTA 240ML,3.25,47,21,7,
7591616002319,LOC URISOFT 240ML,4.66,41,21,7,
7599558000226,NEUROVITAL PVO FRUT ROJ 100G,11.05,27,25,8,
7599558000080,NUTRA TRAINING PVO PRO SPORT 200MG,17.13,47,25,8,
7599558000066,NUTRA TRAINING PVO PRO MUSCLE 200G,17.13,7,25,8,
7599558000035,NUTRAPLANT PVO FITNESS 200G,13.14,39,25,8,
7599558000097,NUTRATRAINIG PROFIT 200G,15.84,50,25,8,
7599558000073,NUTRATRAINIG PRO AMINE 200G,19.77,25,25,8,
7599558000042,NUTRAPLANT REDOX 200G,14.86,9,25,8,
