,,,,,,,,
INVENTARIA DE NENA,,,,,,,,
4/6/2026,,,,,,,,
,,,,,,,,
Sede:            BARQUISIMETO,,,,,,,,
Código,Descripción,Código de Barras,UMF,Cantidad,Precio,Vencimiento,Fecha Lista de precio,PEDIDO
DT180,ACEITE ALMENDRAS DT 30 X12,1759161600039,1,8,12467.77,01/01/2029,30/03/2026,
19987,ACEITE DE CASTOR 30ML. BIOFARCO,7591616002272,1,23,2484.07,01/02/2029,30/03/2026,
16291,ACEITE DE COCO 30ML. BIOFARCO,7591616000056,1,72,1483.81,01/01/2029,30/03/2026,
16292,ACEITE MINERAL 30ML. BIOFARCO,7591616000162,1,164,1000.27,01/11/2028,30/03/2026,
DT210,ACEITE RICINO DT 30 X12,17591616000138,1,23,22280.81,01/02/2029,30/03/2026,
16284,"ACETAFEN FORTE 180MG./5ML.(ACETAMINOFEN) SUSPENSION ORAL DE USO PEDIATRICO 120ML. FABRICANTE LABORATORIOS BIOFARCO, C.A",7591616002142,1,19,1483.81,01/04/2027,30/03/2026,
DT300,ACIDO BORICO DT 20GRAMOS X12 SOBRES,17591616001463,1,41,8229.68,01/03/2029,30/03/2026,
16326,ALCOHOL ABSOLUTO 240ML. BIOFARCO,7591616000285,12,96,2194.90,01/11/2028,30/03/2026,
16325,ALCOHOL ABSOLUTO 60ML. BIOFARCO,7591616000315,1,402,1000.27,01/10/2028,30/03/2026,
DT490,ALCOHOL ABSOLUTO DROTOCA 120 CC,7591616000261,12,138,1398.48,01/10/2028,30/03/2026,
16327,ALCOHOL ANTISEPTICO AL 70% V/V EN SPRAY 120ML. BIOFARCO,7591616002111,1,60,1170.93,01/01/2029,30/03/2026,
DT440,ALCOHOL YODADO DROTOCA 60 ML X 12,17591616000343,1,0,1304.50,01/11/2026,19/01/2026,
DT400,ALUMBRE EN POLVO 20GR X 12 UNIDADES,17591616001487,1,46,7191.49,01/01/2029,30/03/2026,
DT410,AZUFRE POLVO DT X12,17591616001517,1,0,6234.87,01/11/2028,30/03/2026,
19793,CALAMINA LOCION TOPICA REFRESCANTE 110ML. BIOFARCO,7591616002227,1,217,2313.41,01/02/2028,30/03/2026,
