,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,ALPHA BMT CA,LISTA DE PRECIOS DEL A PARTIR DEL 29-01-2025,,,,,,,,
,LISTA DE PRECIOS VENDEDORES,,,,,,,,,
,,,,,,,358.92,,,
,Codigo Cobeca,Codigo Interno Proveedor,Codigo de Barra,Descripcion de Articulo,Precio Lista,PRECIO COBECA,Precio cobeca $ hoy,PRECIO NENA$,Precio nena Bs. Hoy,Precio de contado a farmacias que no estan en cobeca o nena O ESTAN BLOQUEADAS
,28547,1595,7597773000366,MANTECA DE CACAO 25G,1638.45,2129.985,5.9344282848545635,,,4.3
,28548,1595,7597773000359,PASTA DE LASSAR 30G,1618.65,2104.2450000000003,5.8627131394182559,,,4.25
,28549,1595,7597773000298,ACEITE MINERAL 100ML,1178.1,1531.53,4.2670511534603808,,,3.09
,28550,1595,7597773000915,BORIFEM CREMA 25G,2425.5,3153.15,8.7851053159478436,8.45,3032.874,8.45
,28551,1595,7597773000489,BORIFEM CAPSULAS 30 CPS,3712.5,4826.25,13.446589769307923,11.05,3966.0660000000003,11.05
,29469,1595,7597773000038,CLORURO DE MAGNESIO 25G,861.3,1119.69,3.1196088264794382,0,0,2.24
,29470,1595,7597773000137,GLICERINA TARRO 30ML,965.25,1254.825,3.4961133400200604,,,2.6
,29471,1595,7597773000205,GLICERINA GOTAS 30ML,965.25,1254.825,3.4961133400200604,,,2.6
,29472,1595,7597773000113,VALERIANA 30ML,1143.45,1486.4850000000001,4.1415496489468406,,,no disp
,29473,1595,7597773000168,ACEITE DE RICINO30ML,1687.95,2194.335,6.1137161484453362,,,4.77
,29474,1595,7597773000120,PASIFLORA 30ML,1143.45,1486.4850000000001,4.1415496489468406,,,no disp
,29475,1595,7597773000076,VASELINA 30G,955.35,1241.9550000000002,3.4602557673019061,,,2.6
